user_id,book_id,rating
4,70,4
4,264,3
4,388,4
4,18,5
4,27,5
4,21,5
4,2,5
4,23,5
4,24,5
4,964,4
4,103,5
4,255,2
4,35,5
4,287,3
4,337,4
4,26,3
4,84,4
4,58,4
4,660,3
4,111,2
4,5,4
4,8,4
4,65,4
4,297,4
4,45,4
4,113,4
4,325,5
4,476,3
4,145,2
4,36,5
4,102,5
4,222,4
4,200,4
4,13,4
4,640,3
4,693,5
4,575,3
4,55,4
4,50,4
4,87,5
4,86,4
4,123,4
4,32,4
4,28,3
4,33,3
4,42,5
4,249,4
4,158,4
4,373,4
4,184,4
4,495,4
4,350,3
4,492,4
4,219,4
4,288,4
4,11,4
4,245,5
4,301,4
4,596,3
4,782,3
4,426,3
4,100,3
4,48,4
4,95,4
4,387,4
4,497,5
4,489,5
4,221,4
4,401,4
4,131,4
61,11,5
61,33,3
61,26,3
61,2,4
61,24,4
61,21,4
61,27,4
61,18,4
61,57,4
61,273,3
75,11,5
75,372,4
75,476,3
75,115,4
75,741,4
75,743,3
75,122,4
75,109,3
75,22,4
75,150,4
75,63,4
75,662,4
75,378,4
4,81,5
4,468,4
4,1210,5
4,436,3
4,101,4
4,4,4
4,398,3
4,117,4
4,661,4
4,85,5
4,715,4
4,10,5
4,335,4
173,14,4
173,782,4
173,531,3
173,763,4
173,646,3
173,26,5
173,410,3
173,114,5
173,132,3
173,63,3
173,301,1
173,383,2
173,138,3
173,130,4
173,90,4
173,35,5
173,101,4
202,27,5
202,24,5
202,18,4
202,325,5
202,70,5
202,760,5
230,26,3
202,127,4
202,650,4
202,15,3
230,10,5
230,11,5
230,38,5
248,43,5
248,916,3
248,264,5
248,395,4
248,401,4
248,35,3
248,115,4
248,304,5
248,238,4
248,306,4
248,281,4
248,86,4
248,895,3
248,22,4
274,597,5
274,160,4
274,561,4
274,217,4
274,840,4
274,173,5
274,637,5
274,48,5
274,72,4
274,272,5
274,557,3
274,982,5
274,211,3
274,33,4
274,13,5
274,55,5
274,301,5
274,213,5
274,614,5
274,117,5
274,230,5
274,10,5
274,76,5
338,383,4
338,11,5
338,658,4
338,179,3
338,408,2
338,101,4
338,344,2
338,372,2
338,117,5
338,476,4
338,323,5
338,36,5
338,33,4
338,150,5
338,820,5
338,374,4
338,8,4
338,483,5
338,709,5
362,23,4
362,18,4
362,24,4
362,21,4
362,27,4
362,25,4
362,115,5
362,4,5
362,26,1
362,14,4
362,58,5
362,212,3
362,100,5
362,148,3
362,258,2
362,919,3
362,178,5
362,362,4
362,219,5
362,493,5
362,587,4
362,132,1
362,306,3
362,35,1
362,304,2
338,378,4
362,468,3
362,82,3
362,958,3
248,867,5
248,331,3
439,80,4
439,27,5
439,18,4
439,35,3
439,94,5
439,10,4
439,33,3
439,5,4
439,23,2
439,635,3
439,115,5
439,11,4
439,476,4
439,325,3
439,704,3
439,233,4
439,487,3
439,660,3
439,575,2
439,693,2
439,378,3
439,662,3
439,108,3
439,955,3
439,4,5
439,38,4
439,100,4
439,287,4
439,7,3
439,78,3
439,40,1
439,111,4
439,916,4
439,867,3
439,45,3
439,76,3
439,19,4
439,161,4
439,335,3
439,373,5
439,158,4
439,43,4
439,63,3
439,669,4
439,925,3
439,436,4
362,184,4
362,485,5
362,36,4
362,104,5
362,5,5
338,238,3
338,287,5
338,68,3
338,284,3
338,664,4
338,306,3
338,520,5
513,23,5
513,664,4
513,4,5
513,27,4
513,21,3
513,2,3
513,18,5
513,24,5
513,287,4
513,65,4
513,26,4
513,10,5
513,58,5
513,495,3
513,35,3
513,100,4
513,7,4
513,662,4
513,150,5
513,50,5
513,19,5
513,57,4
513,122,5
513,5,2
513,28,3
338,350,3
338,180,4
338,95,5
513,468,5
513,270,2
513,408,5
513,130,3
513,219,3
513,138,3
513,43,5
513,42,4
513,29,5
513,93,5
513,531,3
513,113,3
513,76,5
513,103,3
513,461,5
513,63,5
513,116,4
513,540,5
513,301,3
513,426,5
513,959,3
513,189,5
513,133,5
513,289,2
513,316,1
513,117,5
513,958,5
513,184,4
513,416,5
513,373,5
513,158,4
513,561,5
513,296,5
513,245,5
513,157,5
513,544,4
513,321,4
513,1186,3
513,387,3
513,456,4
513,125,4
513,715,4
513,427,3
513,298,4
513,453,5
513,905,3
513,102,4
513,59,5
513,999,4
513,545,3
513,549,4
513,72,4
513,390,3
513,325,5
513,335,5
513,730,3
513,596,2
513,833,4
338,55,4
362,782,4
573,249,5
513,471,4
513,451,3
513,171,4
513,161,5
513,204,4
513,403,3
513,798,4
513,358,5
513,364,5
513,251,5
513,738,5
513,829,4
513,25,5
513,38,5
589,953,3
589,936,3
589,168,3
589,176,5
589,806,3
589,612,3
589,703,2
589,739,4
589,725,3
589,915,3
589,640,3
589,84,4
589,575,3
589,693,5
589,660,3
589,431,3
589,209,4
589,62,3
589,8,5
589,483,3
589,709,3
589,28,4
589,480,3
589,238,2
573,520,3
573,587,4
615,38,4
615,212,5
615,354,3
615,104,3
615,737,4
615,115,3
615,461,4
615,758,4
615,372,4
615,426,5
615,283,5
615,494,4
615,230,5
615,122,4
615,485,5
615,916,3
513,264,3
513,148,3
513,55,3
513,101,4
589,122,3
513,255,4
338,148,3
725,915,2
725,118,4
725,911,2
725,660,3
725,476,5
725,325,5
725,704,5
725,730,4
725,119,5
725,883,5
725,860,3
725,64,3
725,908,3
725,331,3
725,328,3
725,487,3
725,575,1
725,640,1
725,693,3
725,872,5
725,354,5
725,171,5
725,76,5
725,230,5
725,471,5
725,451,4
725,372,4
725,344,4
725,297,4
725,205,2
725,461,5
725,595,5
725,658,5
725,496,4
725,820,5
725,177,5
725,133,3
736,391,5
736,157,3
736,263,5
615,78,1
615,87,4
615,219,5
615,189,5
589,325,3
589,70,5
589,492,4
589,760,4
589,838,4
589,65,4
589,87,4
589,405,5
589,873,3
589,1033,3
589,356,3
589,1225,3
589,1289,3
589,1163,3
589,1233,3
589,337,3
589,599,3
589,1014,3
1027,476,4
1027,578,3
1027,117,5
1027,71,4
1027,177,4
1027,592,4
1027,660,3
1037,63,5
1037,230,5
1037,76,4
1037,171,3
1037,451,3
1037,10,5
1027,604,3
1037,2,3
1037,27,4
1037,21,5
1027,179,4
1037,24,4
1037,18,4
1037,23,3
1027,129,4
1027,1186,2
1027,715,2
1027,714,5
1027,350,3
1027,523,4
1027,284,2
1027,658,4
1027,354,3
1027,337,5
1037,471,4
1027,154,4
1027,248,5
1027,353,3
1027,530,5
1027,125,4
1027,855,5
1027,773,3
1027,173,4
1027,59,4
1027,29,5
1027,80,4
1027,219,3
1027,297,5
1027,270,4
1027,189,5
1027,335,3
1027,93,3
1027,278,2
1027,50,2
1027,758,5
1027,531,4
1038,127,5
1038,67,4
1038,46,4
1038,417,5
1038,407,5
1038,212,5
1038,273,4
1038,100,4
1038,378,4
1038,111,3
1038,92,4
1038,45,5
1038,40,5
1038,78,3
1038,115,5
1027,387,2
1027,241,4
1027,87,4
1027,461,4
1027,118,4
1037,130,1
1037,5,5
1037,595,5
1037,154,5
1037,125,3
1037,773,4
1037,381,4
1037,222,4
1037,588,3
1076,58,3
1076,36,5
1076,7,5
1076,50,5
1076,35,3
1076,122,3
1076,28,3
1076,32,4
1076,14,3
1076,10,3
1076,18,3
1076,27,3
1076,21,3
1076,24,3
1076,2,3
1076,4,3
1076,5,4
1076,8,2
1076,23,3
1076,85,5
1076,592,5
1076,278,5
1076,154,3
1076,125,4
1076,117,5
1076,15,3
1076,398,3
1076,87,4
1076,350,5
1076,26,3
1076,138,2
1076,248,3
1076,29,3
1076,19,4
1076,341,3
1076,79,4
1076,301,5
1076,577,5
1076,245,4
1076,42,3
1076,321,3
1076,37,5
1076,913,5
1076,127,4
1076,62,5
1076,368,3
1076,102,5
1076,679,5
1076,480,3
1076,346,4
1076,93,5
1076,997,4
1076,263,3
1076,531,3
1076,95,3
1076,456,3
1061,538,4
1061,101,5
1061,60,3
1061,55,3
1061,33,4
1061,495,1
1061,405,4
1061,19,5
1061,189,5
1061,119,4
1027,196,4
1076,1186,4
1076,828,3
1061,13,4
1061,8,2
1061,42,3
1061,5,3
1061,65,3
1061,28,3
1061,138,3
1076,55,5
1061,872,4
1061,682,4
1061,325,5
1061,137,4
1061,463,4
1061,864,4
1061,554,4
1061,712,3
1061,733,4
1076,158,4
1061,87,3
1061,457,4
1061,48,3
1061,662,4
1061,213,4
1061,660,3
1061,84,4
1061,693,3
1061,129,4
1061,71,4
1061,730,4
1061,688,4
1061,54,5
1061,115,4
1027,709,4
1061,407,3
1061,271,3
1061,219,4
1061,487,3
1027,68,3
1126,38,4
1126,10,5
1027,161,5
1027,113,4
1126,704,3
1126,767,4
1126,148,3
1126,181,4
1126,11,4
1126,57,2
1126,26,4
1126,122,1
1126,9,4
